PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,abf,num,lr
0017_01,Earth,FALSE,TRAPPIST-1e,0,FALSE,0,0,0,0,0,TRUE,G,0,P
0017_02,Earth,FALSE,55 Cancri e,14,FALSE,412,0,1,0,679,FALSE,F,6,P
0020_01,Earth,TRUE,TRAPPIST-1e,1,FALSE,0,0,0,0,0,FALSE,E,0,S
0020_02,Earth,TRUE,55 Cancri e,49,FALSE,0,0,0,0,0,FALSE,E,0,S
0020_03,Earth,TRUE,55 Cancri e,29,FALSE,0,0,,0,0,FALSE,E,0,S
0020_04,Earth,FALSE,TRAPPIST-1e,10,FALSE,0,0,0,0,0,TRUE,E,0,S
0020_05,Earth,TRUE,PSO J318.5-22,1,FALSE,,0,0,0,0,FALSE,E,0,S
0020_06,Earth,FALSE,TRAPPIST-1e,7,FALSE,0,0,0,0,0,FALSE,E,0,S
0022_01,Mars,FALSE,TRAPPIST-1e,21,FALSE,980,2,69,0,0,FALSE,D,0,P
0024_01,Europa,TRUE,TRAPPIST-1e,62,FALSE,0,0,,0,0,TRUE,C,2,S
0025_01,Earth,FALSE,TRAPPIST-1e,15,FALSE,0,225,0,998,0,FALSE,F,6,S
0026_01,Europa,FALSE,55 Cancri e,34,FALSE,22,6073,0,1438,328,FALSE,C,0,P
0028_01,Mars,FALSE,TRAPPIST-1e,43,FALSE,1125,0,136,48,0,FALSE,F,8,P
0030_01,Earth,FALSE,TRAPPIST-1e,32,FALSE,0,850,81,437,453,FALSE,G,4,S
0031_01,Mars,FALSE,TRAPPIST-1e,47,FALSE,214,0,1411,0,1229,TRUE,F,9,P
0031_02,Mars,FALSE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,TRUE,F,9,P
0031_03,Mars,FALSE,TRAPPIST-1e,20,FALSE,,0,1750,990,0,TRUE,F,9,P
0034_01,Europa,TRUE,55 Cancri e,28,FALSE,0,0,0,0,0,TRUE,D,1,S
0035_01,Mars,FALSE,55 Cancri e,23,FALSE,784,964,0,951,0,FALSE,D,1,P
0036_01,Earth,FALSE,55 Cancri e,15,,0,492,48,20,401,FALSE,F,8,S
0038_01,Earth,FALSE,55 Cancri e,20,FALSE,554,195,0,2606,0,FALSE,F,0,S
0039_01,Earth,TRUE,55 Cancri e,30,FALSE,0,0,,0,0,FALSE,G,1,P
0041_01,Earth,TRUE,TRAPPIST-1e,17,FALSE,0,0,0,0,0,TRUE,G,2,P
0043_01,Europa,FALSE,TRAPPIST-1e,45,FALSE,0,164,45,2511,855,FALSE,B,3,P
0044_01,Earth,TRUE,TRAPPIST-1e,55,FALSE,0,0,0,0,0,FALSE,G,3,P
0044_02,Earth,TRUE,55 Cancri e,4,FALSE,0,0,0,0,0,TRUE,G,3,P
0044_03,Earth,TRUE,PSO J318.5-22,21,FALSE,0,0,0,0,0,TRUE,G,3,P
0045_01,Mars,FALSE,TRAPPIST-1e,21,FALSE,970,0,180,0,64,FALSE,F,0,P
0045_02,Mars,TRUE,,19,FALSE,0,0,0,0,0,TRUE,F,0,P
0050_01,Earth,FALSE,55 Cancri e,35,FALSE,790,0,0,,0,FALSE,E,1,S
0051_01,Earth,FALSE,TRAPPIST-1e,56,FALSE,0,112,0,1379,127,FALSE,E,2,S
0052_01,Earth,FALSE,TRAPPIST-1e,,FALSE,4,0,2,4683,0,FALSE,G,6,S
0053_01,Earth,FALSE,TRAPPIST-1e,25,FALSE,0,0,1938,0,1,TRUE,F,1,S
0056_01,Europa,FALSE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,TRUE,A,1,S
0056_02,Europa,TRUE,TRAPPIST-1e,38,FALSE,0,0,0,0,0,TRUE,A,1,S
0056_03,Europa,FALSE,TRAPPIST-1e,27,FALSE,279,605,3374,286,3,TRUE,A,1,S
0058_01,Earth,TRUE,PSO J318.5-22,36,FALSE,0,0,0,0,0,FALSE,G,7,S
0061_01,Earth,FALSE,TRAPPIST-1e,22,FALSE,45,1096,148,1377,1,FALSE,F,2,S
0062_01,Earth,FALSE,TRAPPIST-1e,62,FALSE,0,592,0,17,25,FALSE,F,3,S
0064_01,Mars,TRUE,TRAPPIST-1e,15,FALSE,0,0,0,0,0,TRUE,F,4,S
0064_02,,TRUE,TRAPPIST-1e,33,FALSE,0,0,,0,0,TRUE,E,3,S
0066_01,Earth,FALSE,TRAPPIST-1e,62,FALSE,1,153,197,0,460,FALSE,G,6,P
0067_01,Earth,TRUE,PSO J318.5-22,0,FALSE,0,0,0,0,0,TRUE,G,0,S
0067_02,Earth,FALSE,TRAPPIST-1e,18,FALSE,1,258,446,0,0,TRUE,G,0,S
0067_03,Earth,FALSE,55 Cancri e,21,FALSE,1946,37,0,0,24,FALSE,F,5,S
0068_01,Mars,FALSE,TRAPPIST-1e,,FALSE,793,0,2,253,0,FALSE,E,4,S
0069_01,Earth,FALSE,TRAPPIST-1e,42,FALSE,887,0,9,6,0,TRUE,F,6,S
0070_01,Earth,FALSE,TRAPPIST-1e,19,FALSE,190,0,5,1,726,FALSE,F,3,P
0071_01,Earth,FALSE,TRAPPIST-1e,17,FALSE,16,2165,0,0,52,FALSE,F,4,P
0072_01,Earth,FALSE,TRAPPIST-1e,14,FALSE,0,1,0,0,1063,FALSE,F,7,S
0073_01,Mars,FALSE,PSO J318.5-22,37,FALSE,46,83,738,0,12,FALSE,D,3,P
0074_01,Europa,FALSE,TRAPPIST-1e,42,FALSE,1,8397,0,0,506,TRUE,C,3,S
0076_01,Mars,FALSE,TRAPPIST-1e,27,FALSE,147,0,1018,0,0,TRUE,F,8,S
0077_01,Mars,FALSE,TRAPPIST-1e,28,FALSE,14,0,1295,0,0,TRUE,F,5,P
0078_01,Europa,FALSE,TRAPPIST-1e,38,FALSE,0,5840,0,321,9654,FALSE,C,4,S
0081_01,Earth,TRUE,TRAPPIST-1e,13,FALSE,0,0,0,0,0,FALSE,G,3,S
0082_01,Mars,FALSE,TRAPPIST-1e,42,FALSE,7406,0,0,0,0,FALSE,F,6,P
0082_02,Mars,TRUE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,TRUE,F,6,P
0082_03,Mars,FALSE,TRAPPIST-1e,8,FALSE,0,0,0,0,0,TRUE,F,6,P
0084_01,Earth,FALSE,TRAPPIST-1e,24,FALSE,688,0,0,0,17,TRUE,G,4,S
0085_01,Europa,TRUE,TRAPPIST-1e,40,FALSE,0,0,0,0,0,TRUE,C,5,S
0086_01,Earth,FALSE,TRAPPIST-1e,43,FALSE,211,0,0,638,513,FALSE,F,7,P
0088_01,Mars,TRUE,PSO J318.5-22,45,FALSE,0,0,0,0,0,TRUE,E,5,S
0090_01,Earth,TRUE,TRAPPIST-1e,35,FALSE,0,0,0,0,0,TRUE,G,5,S
0091_01,Earth,TRUE,TRAPPIST-1e,26,FALSE,,0,0,0,0,TRUE,G,6,S
0091_02,Earth,FALSE,TRAPPIST-1e,27,FALSE,1,697,31,188,0,FALSE,F,0,S
0092_01,Earth,FALSE,TRAPPIST-1e,19,FALSE,0,0,670,1,34,FALSE,G,9,P
0092_02,Earth,TRUE,TRAPPIST-1e,0,FALSE,0,0,,0,0,TRUE,G,9,P
0092_03,Earth,TRUE,TRAPPIST-1e,3,FALSE,0,0,0,0,0,TRUE,G,9,P
0097_01,Europa,FALSE,TRAPPIST-1e,54,FALSE,0,1208,0,3,637,FALSE,A,2,S
0098_01,Earth,FALSE,TRAPPIST-1e,26,FALSE,0,856,5,32,0,FALSE,G,1,P
0098_02,Earth,FALSE,TRAPPIST-1e,26,FALSE,0,2811,957,0,87,TRUE,G,1,P
0099_01,Earth,FALSE,PSO J318.5-22,23,FALSE,311,427,526,37,0,FALSE,F,9,P
0099_02,Earth,,TRAPPIST-1e,2,FALSE,0,0,0,0,0,TRUE,G,2,P
0101_01,Mars,TRUE,TRAPPIST-1e,31,FALSE,0,0,0,0,0,TRUE,,,
0102_01,Earth,FALSE,TRAPPIST-1e,18,FALSE,0,0,0,830,91,FALSE,F,3,S
0103_01,Earth,FALSE,TRAPPIST-1e,24,FALSE,0,,0,0,17,TRUE,F,4,S
0103_02,Earth,TRUE,55 Cancri e,9,FALSE,0,0,0,0,0,TRUE,G,8,S
0103_03,Earth,TRUE,TRAPPIST-1e,6,FALSE,0,0,0,0,0,FALSE,G,8,S
0105_01,Earth,,TRAPPIST-1e,27,FALSE,0,0,570,2,131,FALSE,F,1,P
0107_01,Mars,FALSE,TRAPPIST-1e,21,FALSE,1743,5,17,0,0,FALSE,D,2,S
0108_01,Earth,TRUE,TRAPPIST-1e,23,FALSE,0,0,0,0,0,FALSE,G,9,S
0108_02,Earth,FALSE,TRAPPIST-1e,31,FALSE,562,0,326,0,0,FALSE,G,9,S
0108_03,Earth,FALSE,TRAPPIST-1e,0,,0,0,0,0,0,TRUE,G,9,S
0110_01,Europa,FALSE,TRAPPIST-1e,32,FALSE,0,410,6,3929,764,FALSE,,,
0110_02,Europa,,TRAPPIST-1e,40,FALSE,0,331,0,0,1687,FALSE,B,5,P
0110_03,Europa,FALSE,TRAPPIST-1e,42,FALSE,2209,11418,0,1868,445,TRUE,B,5,P
0110_04,Europa,TRUE,TRAPPIST-1e,28,FALSE,0,0,0,0,0,TRUE,B,5,P
0111_01,Europa,TRUE,TRAPPIST-1e,29,FALSE,0,0,0,0,0,TRUE,E,6,S
0112_01,Europa,FALSE,55 Cancri e,48,TRUE,0,2537,87,17,13,TRUE,B,1,S
0113_01,Earth,FALSE,TRAPPIST-1e,64,FALSE,0,0,804,0,0,TRUE,F,3,P
0114_01,Earth,FALSE,TRAPPIST-1e,27,FALSE,82,157,429,238,1,FALSE,G,0,S
0115_01,Mars,,TRAPPIST-1e,26,FALSE,0,0,0,0,,TRUE,F,4,P
0116_01,Europa,FALSE,TRAPPIST-1e,33,FALSE,1,2223,0,12,404,TRUE,D,4,P
0119_01,,FALSE,TRAPPIST-1e,39,FALSE,0,2344,0,65,6898,FALSE,A,0,P
0119_02,Europa,TRUE,TRAPPIST-1e,13,FALSE,0,0,0,0,0,TRUE,A,0,P
0120_01,Mars,TRUE,TRAPPIST-1e,24,FALSE,0,0,0,0,,TRUE,F,5,P
0122_01,Earth,FALSE,TRAPPIST-1e,29,FALSE,0,0,0,699,74,FALSE,G,1,S
0123_01,Earth,FALSE,TRAPPIST-1e,18,FALSE,55,597,49,0,1,FALSE,F,7,P
0126_01,Mars,TRUE,TRAPPIST-1e,67,FALSE,0,0,0,0,0,TRUE,F,7,S
0127_01,Mars,FALSE,TRAPPIST-1e,35,FALSE,701,0,296,0,25,FALSE,E,7,S
0128_01,Mars,FALSE,TRAPPIST-1e,61,TRUE,2353,334,9,316,2,FALSE,D,3,S
0128_02,Mars,FALSE,TRAPPIST-1e,45,FALSE,2103,6,0,0,0,FALSE,E,8,S
0129_01,Earth,TRUE,PSO J318.5-22,22,FALSE,0,0,,0,0,TRUE,G,2,S
0133_01,Mars,TRUE,TRAPPIST-1e,19,FALSE,0,0,0,0,0,TRUE,F,9,S
0133_02,Mars,FALSE,TRAPPIST-1e,36,FALSE,2738,0,0,0,0,FALSE,D,5,S
0134_01,Earth,FALSE,TRAPPIST-1e,19,FALSE,0,14,730,0,0,TRUE,G,7,P
0136_01,Earth,FALSE,PSO J318.5-22,47,FALSE,97,418,126,25,55,FALSE,G,3,S
0138_01,Earth,TRUE,TRAPPIST-1e,13,FALSE,0,0,0,0,0,TRUE,G,8,P
0138_02,Earth,FALSE,,34,FALSE,0,22,0,564,207,FALSE,E,5,P
0139_01,Europa,TRUE,55 Cancri e,35,FALSE,0,0,0,0,0,TRUE,C,6,S
0140_01,Earth,TRUE,TRAPPIST-1e,24,FALSE,0,0,0,0,0,TRUE,G,9,P
0140_02,Earth,FALSE,TRAPPIST-1e,26,FALSE,440,0,0,0,462,FALSE,F,9,P
0141_01,Mars,FALSE,TRAPPIST-1e,31,FALSE,,0,97,0,0,FALSE,F,0,P
0144_01,Earth,FALSE,TRAPPIST-1e,20,FALSE,0,420,210,0,0,TRUE,F,1,S
0146_01,Earth,FALSE,TRAPPIST-1e,56,FALSE,0,0,0,0,0,FALSE,G,5,S
0147_01,Earth,TRUE,TRAPPIST-1e,50,FALSE,0,0,0,0,0,TRUE,G,6,S
0148_01,Mars,FALSE,TRAPPIST-1e,42,FALSE,1072,0,10,0,76,FALSE,F,1,P
0149_01,Earth,TRUE,55 Cancri e,,FALSE,0,0,0,0,0,TRUE,G,7,S
0151_01,Earth,TRUE,55 Cancri e,38,FALSE,0,0,0,0,0,FALSE,G,0,P
0152_01,Earth,FALSE,,41,FALSE,0,0,0,0,607,FALSE,F,2,P
0160_01,Earth,FALSE,TRAPPIST-1e,22,FALSE,4119,0,0,0,61,FALSE,G,2,P
0163_01,Europa,TRUE,TRAPPIST-1e,26,FALSE,0,0,0,0,0,TRUE,B,8,P
0163_02,Europa,TRUE,TRAPPIST-1e,17,FALSE,0,0,0,0,0,TRUE,B,8,P
0164_01,Earth,FALSE,TRAPPIST-1e,57,FALSE,50,1688,0,,135,TRUE,G,8,S
0164_02,Earth,TRUE,PSO J318.5-22,17,FALSE,0,0,0,0,0,FALSE,G,8,S
0165_01,Mars,TRUE,TRAPPIST-1e,35,,0,0,0,0,0,TRUE,F,7,P
0167_01,Mars,TRUE,TRAPPIST-1e,13,FALSE,0,0,0,0,0,TRUE,F,5,S
0167_02,Mars,FALSE,TRAPPIST-1e,27,FALSE,1365,0,48,22,137,FALSE,F,5,S
0169_01,Earth,TRUE,TRAPPIST-1e,31,FALSE,0,0,0,0,0,FALSE,G,3,P
0170_01,Earth,FALSE,TRAPPIST-1e,24,FALSE,0,0,0,221,567,FALSE,E,0,S
0171_01,Earth,TRUE,PSO J318.5-22,19,FALSE,0,0,0,0,0,TRUE,G,0,S
0172_01,Earth,TRUE,TRAPPIST-1e,32,FALSE,0,0,0,0,0,TRUE,G,4,P
0173_01,Earth,,TRAPPIST-1e,58,FALSE,0,985,0,5,0,TRUE,E,1,S
0174_01,Earth,FALSE,55 Cancri e,21,FALSE,287,0,16,115,175,FALSE,F,8,P
0177_01,Europa,FALSE,TRAPPIST-1e,38,FALSE,0,10346,1,14970,2111,FALSE,B,2,S
0178_01,Mars,FALSE,TRAPPIST-1e,38,FALSE,3414,0,161,28,119,FALSE,D,6,S
0179_01,Earth,FALSE,TRAPPIST-1e,19,FALSE,1,219,673,2,11,TRUE,G,6,P
0179_02,Earth,FALSE,TRAPPIST-1e,0,FALSE,0,0,0,0,0,FALSE,G,6,P
0179_03,Earth,FALSE,TRAPPIST-1e,3,FALSE,0,0,0,0,0,TRUE,G,6,P
0181_01,Earth,FALSE,TRAPPIST-1e,20,FALSE,0,0,3,299,92,FALSE,G,7,P
0182_01,Europa,TRUE,TRAPPIST-1e,24,FALSE,0,0,0,0,0,TRUE,C,3,P
0183_01,Earth,FALSE,TRAPPIST-1e,37,FALSE,17,146,426,0,232,TRUE,F,6,S
0186_01,Earth,FALSE,TRAPPIST-1e,25,FALSE,62,0,0,0,956,FALSE,G,8,P
0188_01,Earth,TRUE,TRAPPIST-1e,56,FALSE,0,0,0,0,0,TRUE,G,1,S
0189_01,Earth,FALSE,55 Cancri e,49,FALSE,84,3,401,202,98,FALSE,E,8,P
0190_01,Earth,TRUE,55 Cancri e,11,FALSE,0,0,0,0,0,FALSE,G,2,S
0192_01,Earth,TRUE,TRAPPIST-1e,1,FALSE,0,0,0,0,0,TRUE,G,9,P
0192_02,Earth,FALSE,TRAPPIST-1e,8,FALSE,0,0,0,0,0,FALSE,G,9,P
0192_03,Earth,FALSE,TRAPPIST-1e,39,FALSE,0,0,10,898,0,FALSE,G,9,P
0193_01,Mars,TRUE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,TRUE,F,1,P
0193_02,Mars,FALSE,TRAPPIST-1e,23,FALSE,,0,8,1072,0,FALSE,F,1,P
0193_03,Mars,FALSE,TRAPPIST-1e,0,FALSE,0,0,0,0,0,TRUE,F,1,P
0195_01,Mars,FALSE,TRAPPIST-1e,39,FALSE,406,0,867,0,0,TRUE,F,2,P
0196_01,Mars,FALSE,PSO J318.5-22,25,FALSE,1052,0,719,0,7,FALSE,D,5,P
0197_01,Europa,FALSE,TRAPPIST-1e,36,FALSE,0,972,0,795,575,FALSE,C,5,P
0198_01,Earth,,PSO J318.5-22,52,FALSE,0,0,0,0,0,TRUE,G,0,P
0199_01,Earth,TRUE,TRAPPIST-1e,18,FALSE,0,0,0,0,0,FALSE,G,3,S
0200_01,Earth,TRUE,TRAPPIST-1e,15,FALSE,0,0,0,0,0,TRUE,G,1,P
0201_01,Europa,TRUE,TRAPPIST-1e,35,FALSE,0,0,0,0,0,TRUE,B,3,S
0201_02,Europa,TRUE,TRAPPIST-1e,47,FALSE,0,0,0,0,0,TRUE,B,3,S
0202_01,Europa,TRUE,55 Cancri e,45,FALSE,0,0,0,0,0,TRUE,B,9,P
0202_02,Europa,FALSE,55 Cancri e,,FALSE,0,2433,,878,443,TRUE,A,2,P
0203_01,Europa,TRUE,TRAPPIST-1e,51,FALSE,0,0,0,0,0,TRUE,C,8,S
0205_01,Earth,FALSE,TRAPPIST-1e,29,FALSE,0,2,66,0,705,FALSE,G,4,S
0206_01,Europa,FALSE,55 Cancri e,,FALSE,2,1720,12,1125,122,TRUE,C,9,S
0207_01,Earth,TRUE,PSO J318.5-22,19,FALSE,0,0,0,0,0,FALSE,G,2,P
0210_01,,TRUE,55 Cancri e,24,FALSE,0,0,,0,0,TRUE,D,6,P
0211_01,Mars,FALSE,TRAPPIST-1e,29,FALSE,902,1,137,0,0,TRUE,F,4,P
0211_02,Mars,TRUE,TRAPPIST-1e,11,FALSE,0,0,0,0,0,TRUE,F,4,P
0211_03,Mars,FALSE,TRAPPIST-1e,17,FALSE,848,0,307,182,0,FALSE,F,4,P
0212_01,Earth,FALSE,TRAPPIST-1e,13,FALSE,192,0,0,51,739,FALSE,E,9,P
0212_02,Earth,FALSE,TRAPPIST-1e,35,FALSE,147,188,0,10,387,FALSE,F,5,P
0213_01,Earth,FALSE,TRAPPIST-1e,21,FALSE,367,281,0,0,146,FALSE,F,6,P
0216_01,Earth,FALSE,55 Cancri e,21,FALSE,0,56,0,0,1918,FALSE,F,0,S
0217_01,Earth,FALSE,TRAPPIST-1e,38,FALSE,1517,0,0,27,0,FALSE,F,7,P
0219_01,Earth,TRUE,TRAPPIST-1e,19,FALSE,0,0,0,0,0,TRUE,G,6,P
0220_01,Earth,TRUE,TRAPPIST-1e,2,FALSE,0,0,0,0,0,TRUE,G,7,P
0220_02,Earth,FALSE,TRAPPIST-1e,0,FALSE,0,0,0,0,0,TRUE,G,7,P
0220_03,Earth,TRUE,TRAPPIST-1e,13,FALSE,0,0,0,0,0,FALSE,G,7,P
0220_04,Earth,FALSE,TRAPPIST-1e,25,FALSE,122,84,,0,0,FALSE,E,0,P
0220_05,Earth,FALSE,TRAPPIST-1e,16,FALSE,0,3,0,0,1099,FALSE,F,8,P
0220_06,Earth,FALSE,55 Cancri e,1,FALSE,0,0,0,0,0,FALSE,G,7,P
0220_07,Earth,TRUE,TRAPPIST-1e,15,FALSE,0,0,0,0,0,TRUE,G,7,P
0221_01,Mars,FALSE,55 Cancri e,21,FALSE,2237,0,119,0,0,FALSE,E,3,S
0221_02,Mars,FALSE,TRAPPIST-1e,23,FALSE,1215,80,1,2,0,FALSE,E,3,S
0221_03,Mars,FALSE,TRAPPIST-1e,33,FALSE,1933,12,188,1,0,FALSE,E,3,S
0221_04,Mars,TRUE,TRAPPIST-1e,21,FALSE,0,0,0,0,0,TRUE,E,3,S
0221_05,Mars,FALSE,TRAPPIST-1e,41,FALSE,1230,0,301,43,1023,FALSE,E,3,S
0221_06,Mars,FALSE,TRAPPIST-1e,16,FALSE,915,0,221,234,0,FALSE,E,3,S
0221_07,Mars,TRUE,TRAPPIST-1e,42,FALSE,0,0,0,0,0,FALSE,E,3,S
0222_01,Mars,FALSE,TRAPPIST-1e,20,FALSE,1406,0,0,11,0,FALSE,F,1,S
0222_02,Mars,TRUE,TRAPPIST-1e,24,FALSE,0,0,0,0,0,TRUE,F,1,S
0222_03,Mars,TRUE,TRAPPIST-1e,16,FALSE,0,0,0,0,0,TRUE,E,4,S
0223_01,Earth,FALSE,TRAPPIST-1e,21,FALSE,0,2,665,0,9,FALSE,G,5,S
0224_01,Mars,FALSE,TRAPPIST-1e,32,TRUE,181,0,5,1634,0,FALSE,F,2,S
0225_01,Earth,TRUE,PSO J318.5-22,58,FALSE,0,0,0,0,0,TRUE,G,8,P
0229_01,Earth,FALSE,TRAPPIST-1e,24,FALSE,4,7,0,713,79,FALSE,F,3,S
0231_01,Mars,FALSE,TRAPPIST-1e,30,FALSE,85,0,1,1720,0,FALSE,F,4,S
0232_01,Earth,TRUE,PSO J318.5-22,27,FALSE,0,,0,0,0,FALSE,G,6,S
0233_01,Mars,FALSE,TRAPPIST-1e,32,FALSE,56,0,256,1438,0,FALSE,F,5,S
0234_01,Earth,FALSE,TRAPPIST-1e,43,FALSE,,888,0,0,0,FALSE,F,0,P
0237_01,Europa,TRUE,TRAPPIST-1e,42,FALSE,0,0,0,0,0,TRUE,B,1,P
0239_01,Mars,FALSE,TRAPPIST-1e,37,FALSE,637,0,0,92,319,FALSE,,,
0240_01,Mars,TRUE,TRAPPIST-1e,35,FALSE,0,0,0,0,0,TRUE,F,2,P
0241_01,Europa,,55 Cancri e,33,FALSE,0,1249,0,4812,1116,FALSE,E,1,P
0242_01,,FALSE,TRAPPIST-1e,18,FALSE,313,1,691,283,0,FALSE,F,6,S
0243_01,Earth,TRUE,TRAPPIST-1e,21,FALSE,0,0,0,0,0,FALSE,G,7,S
0244_01,Mars,TRUE,TRAPPIST-1e,43,FALSE,0,0,0,0,0,TRUE,,,
0244_02,Mars,TRUE,55 Cancri e,14,,0,0,0,0,0,TRUE,F,7,S
0245_01,Europa,FALSE,55 Cancri e,46,FALSE,0,3571,0,0,7,TRUE,C,6,P
0245_02,Europa,FALSE,TRAPPIST-1e,33,FALSE,0,86,796,584,10912,FALSE,C,6,P
0246_01,Mars,FALSE,TRAPPIST-1e,21,FALSE,2947,0,287,27,0,FALSE,D,8,P
0248_01,Europa,FALSE,TRAPPIST-1e,33,FALSE,0,1,0,8620,1063,FALSE,C,0,S
0250_01,Earth,TRUE,PSO J318.5-22,47,FALSE,,0,0,0,0,FALSE,G,8,S
0251_01,,TRUE,55 Cancri e,54,FALSE,0,0,0,0,0,TRUE,C,1,S
0252_01,Earth,FALSE,TRAPPIST-1e,30,FALSE,335,695,541,0,0,FALSE,F,3,P
0253_01,Earth,FALSE,TRAPPIST-1e,29,FALSE,272,615,0,0,1,FALSE,G,2,P
0254_01,Earth,FALSE,TRAPPIST-1e,21,FALSE,702,172,408,2,6,TRUE,F,4,P
0255_01,Europa,TRUE,TRAPPIST-1e,24,FALSE,0,0,0,0,0,TRUE,A,3,S
0257_01,Mars,FALSE,55 Cancri e,21,FALSE,1664,0,,0,0,FALSE,F,9,S
0257_02,Mars,TRUE,TRAPPIST-1e,60,FALSE,0,0,0,0,0,TRUE,F,9,S
0258_01,Earth,FALSE,TRAPPIST-1e,22,FALSE,0,0,313,299,92,FALSE,F,0,S
0260_01,Europa,FALSE,TRAPPIST-1e,26,FALSE,0,4810,0,981,2054,FALSE,E,6,S
0261_01,Earth,FALSE,TRAPPIST-1e,26,FALSE,66,29,0,0,803,FALSE,F,6,P
0263_01,Earth,TRUE,TRAPPIST-1e,28,FALSE,0,0,0,0,0,TRUE,G,3,P
0265_01,Europa,TRUE,TRAPPIST-1e,39,FALSE,0,0,0,,0,TRUE,D,8,S
0267_01,Earth,FALSE,TRAPPIST-1e,13,FALSE,118,0,0,754,1,FALSE,F,1,S
0269_01,Earth,FALSE,55 Cancri e,47,FALSE,0,231,592,0,0,TRUE,F,2,S
0270_01,Earth,FALSE,TRAPPIST-1e,63,FALSE,0,25,128,0,1240,FALSE,F,9,P
0275_01,Europa,TRUE,55 Cancri e,,FALSE,0,0,0,0,0,TRUE,D,9,S
0277_01,Earth,FALSE,55 Cancri e,50,FALSE,44,2390,0,53,0,TRUE,F,1,P
0278_01,Earth,FALSE,TRAPPIST-1e,35,FALSE,0,0,0,888,,FALSE,,,
0278_02,Earth,FALSE,TRAPPIST-1e,45,FALSE,0,97,0,14,333,FALSE,G,5,P
0281_01,Earth,FALSE,TRAPPIST-1e,19,FALSE,0,0,2078,0,0,TRUE,F,3,P
0282_01,Earth,FALSE,TRAPPIST-1e,21,FALSE,0,918,0,0,0,TRUE,F,4,S
0283_01,Earth,TRUE,PSO J318.5-22,29,FALSE,0,0,0,0,0,TRUE,G,6,P
0283_02,Earth,FALSE,TRAPPIST-1e,22,FALSE,146,654,1,0,2,TRUE,F,4,P
0285_01,Europa,TRUE,TRAPPIST-1e,14,FALSE,0,0,0,0,0,TRUE,E,6,P
0285_02,Europa,TRUE,55 Cancri e,42,FALSE,0,0,0,0,0,TRUE,E,6,P
0286_01,Earth,FALSE,55 Cancri e,57,FALSE,3,1281,29,162,13,FALSE,F,5,P
0287_01,Europa,TRUE,55 Cancri e,39,FALSE,0,0,0,0,0,TRUE,,,
0287_02,Europa,FALSE,TRAPPIST-1e,28,FALSE,0,587,32,6,1460,FALSE,B,2,P
0288_01,Earth,FALSE,55 Cancri e,19,FALSE,0,0,0,0,828,FALSE,F,5,S
0289_01,Europa,TRUE,55 Cancri e,19,FALSE,0,0,0,0,0,TRUE,C,2,S
0290_01,Europa,FALSE,55 Cancri e,26,FALSE,0,4458,0,1157,262,TRUE,B,7,S
